meta_step,az_en,en_be,en_az,be_en,meta_average,test_performance
0,9.194274531677046,1.796603242513222,2.4892664708229133,13.3248820300995,6.70125656877817,
1,10.244415071177885,0.7919145188287668,2.662293126482863,12.301843432047514,6.500116537134256,
2,12.703104948587415,1.4123987601560692,2.4472228168258137,11.61746525103773,7.045047944151757,
3,7.427743222352522,2.8709650836481226,3.28481148961619,12.319583560601131,6.475775839054491,
4,7.5635792696238004,2.5234797618227502,2.28267453099958,14.101811571357809,6.617886283450985,
5,7.825131942454519,2.144307389037964,2.62762957278575,12.270860922140018,6.216982456604563,
6,9.732950572312449,2.373860419942473,2.794878442690079,7.0914709357581875,5.498290092675797,
7,9.862754102041857,2.421496846952463,2.9731458976858693,7.644868261340143,5.725566277005083,
8,10.920147290634537,2.1076112324378236,2.749161983470371,9.262211533033014,6.259783009893937,
9,10.632611973579548,2.9296756821804095,2.9508472610270324,8.73540398157274,6.312134724589932,
10,11.242671596148398,3.00653310609941,2.6633957998229096,10.493446547487883,6.85151176238965,
11,11.92334351433189,3.365378264740641,2.835858327140689,8.948655061511586,6.768308791931202,
12,10.835839372851135,3.32708271406323,1.8431526767961575,9.771370902655832,6.444361416591589,
13,10.3974617347314,2.9402897070573695,2.7910589501916565,8.426691541315837,6.138875483324066,
14,9.927336543870734,2.5819804079741497,2.3225032098048852,9.861220077055366,6.173260059676284,
15,11.109516631073198,2.2435255700567613,1.963858603088663,13.247054308944266,7.140988778290722,
16,9.937898492062944,3.682795629194807,2.6284700309116333,10.172783553423262,6.605486926398162,
17,10.010644036220446,2.917516466250438,3.0874111217437963,11.192635484566757,6.802051777195359,
18,9.926928827637255,3.3915624357349916,2.4441138325457885,10.936563742144983,6.674792209515754,
19,12.430242571891952,3.134572643579279,3.275040046961045,11.05208114164058,7.4729841010182145,
20,10.666101579214205,2.5497312948153095,3.4933791710840585,8.671974772333476,6.345296704361762,
21,10.182849754445714,3.6308360425326995,3.0530702668512837,14.103731705317314,7.742621942286752,
22,10.100660358173776,4.118957662051442,3.308088757721285,16.695197492812927,8.555726067689857,
23,10.248120095812773,3.546376735264854,2.0575363336247334,10.264881418867217,6.529228645892394,
24,10.015750383114671,2.6264808847190113,2.736226157607879,7.980089108562762,5.839636633501081,
25,10.064896602741477,3.6257082767693105,2.4427820043294224,11.252995736145527,6.846595654996435,
26,8.58170093611004,3.7163305120376773,3.418476874994585,10.69781314303429,6.603580366544148,
27,9.863106427571218,4.692005353478219,2.0392391786874797,10.064629301669138,6.664745065351514,
28,9.891509361599848,5.1562539365808995,3.767563506640569,10.29149378568746,7.276705147627195,
29,9.996309580642636,3.7209271055801145,3.4340679702850196,12.544172267514549,7.423869231005581,
30,12.419824462630352,4.010526506884109,2.899347809812042,10.434435634315426,7.4410336034104825,
31,13.118909557551389,4.8795989706516885,3.411409982152369,10.060950070321732,7.867717145169294,
32,8.491262065513913,5.073301958056418,3.4318382972709536,11.059242213240218,7.013911133520376,
33,9.91804780553219,4.417005821873082,3.6334502786149314,11.148244673104706,7.279187144781227,
34,11.056001295010338,3.9325001475927874,2.795645898648608,16.210425021224122,8.498643090618964,
35,6.6176942003435855,5.115683520148325,3.4630395113588723,13.251788580786071,7.112051453159213,
36,10.157973148726287,4.413687116120484,3.4342045415400353,11.315581701092649,7.330361626869863,
37,5.401577273001908,4.826959967043112,3.313395028853188,11.537969854204485,6.269975530775673,
38,9.628651729763183,3.857604555539346,3.821247607743597,14.743334187874574,8.012709520230175,
39,5.065753072962349,4.373545565528931,3.1883525377629716,12.990413738281946,6.404516228634049,
40,11.863906980627931,4.870866965816121,3.163160074300682,13.783743803327075,8.420419456017953,
41,9.096418964676621,2.8942200695750593,3.123930219697453,11.656350442765884,6.692729924178754,
42,9.877649362669404,4.363967928666386,2.4602549318095694,15.641921038833386,8.085948315494687,
43,5.48416405071776,4.932353637138519,3.4930690760864063,12.582767332469034,6.623088524102929,
44,11.214925032694815,5.168288128037289,3.33897187066504,11.577106139183558,7.824822792645175,
45,10.354031240007686,5.091412034432224,3.2356692420860242,11.744875570324238,7.606497021712544,
46,9.480982409694883,4.164573813193406,2.4482723021467776,15.076548517354617,7.79259426059742,
47,7.836727418974861,5.045466581233264,3.1588955228938964,10.880338858367088,6.730357095367277,
48,9.328984951541452,5.096172073707041,3.1332690194678534,10.9827443239067,7.135292592155762,
49,10.394927275755363,4.689580252256692,3.440579668192591,10.145639354259233,7.167681637615969,
